asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
SMH,OOS,4440,0.526,0.733,39.0,18.6,60.0,5.57,5,3.0,0.0,15.25
SMH,HOLDOUT,6783,0.744,1.04,33.7,15.0,62.5,7.1,8,3.0,0.0,15.25
SMH,RECENT,5736,0.651,0.908,39.6,19.9,61.5,6.27,13,3.0,0.0,15.25
SMH,FULL,3965,0.566,0.783,41.8,21.1,56.0,4.81,25,3.0,0.0,15.25
IWM,IS,912,0.223,0.301,37.7,18.3,28.6,1.73,14,3.0,0.0,15.25
IWM,OOS,1735,0.298,0.418,27.1,20.9,33.3,2.39,3,3.0,0.0,15.25
IWM,HOLDOUT,1719,0.348,0.502,20.2,17.5,33.3,0.72,3,3.0,0.0,15.25
IWM,RECENT,1726,0.323,0.458,39.7,20.9,33.3,1.58,6,3.0,0.0,15.25
IWM,FULL,1204,0.263,0.364,48.1,33.7,30.0,1.67,20,3.0,0.0,15.25
SPY,IS,1775,0.491,0.663,26.6,13.0,66.7,5.03,6,4.0,0.0,15.25
SPY,OOS,2074,0.446,0.594,20.2,3.2,100.0,10.0,2,4.0,0.0,15.25
SPY,HOLDOUT,3893,1.028,1.421,21.7,3.0,100.0,10.0,1,4.0,0.0,15.25
SPY,RECENT,3080,0.734,0.995,22.5,3.2,100.0,10.0,3,4.0,0.0,15.25
SPY,FULL,2244,0.585,0.791,26.6,13.0,77.8,8.73,9,4.0,0.0,15.25
QQQ,IS,2459,0.479,0.627,51.4,24.7,44.4,3.15,9,4.0,0.0,15.25
QQQ,OOS,4142,0.641,0.864,35.9,8.6,66.7,9.16,3,4.0,0.0,15.25
QQQ,HOLDOUT,5250,0.961,1.351,32.1,7.5,50.0,6.31,2,4.0,0.0,15.25
QQQ,RECENT,4755,0.802,1.102,37.8,10.5,60.0,8.06,5,4.0,0.0,15.25
QQQ,FULL,3283,0.605,0.807,51.4,24.7,50.0,4.37,14,4.0,0.0,15.25
SMH,IS,2728,0.482,0.658,42.2,19.1,45.5,3.03,11,4.0,0.0,15.25
SMH,OOS,3886,0.459,0.638,45.4,24.4,60.0,4.11,5,4.0,0.0,15.25
SMH,HOLDOUT,6783,0.744,1.04,33.7,15.0,62.5,7.1,8,4.0,0.0,15.25
SMH,RECENT,5489,0.622,0.867,46.0,26.3,61.5,5.25,13,4.0,0.0,15.25
SMH,FULL,3719,0.534,0.738,46.0,26.3,54.2,4.05,24,4.0,0.0,15.25
IWM,IS,1180,0.286,0.389,40.2,20.9,44.4,2.3,9,4.0,0.0,15.25
